Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Category,Subcategories,Packaging,Qty,Product Page URL,Image URL
DC Dental, 813-825-9425 , Kerr Endodontics , 813-825-9425 ,ZenFlex Gutta Percha Points .04/0.25 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9425,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9430 , Kerr Endodontics , 813-825-9430 ,ZenFlex Gutta Percha Points .04/0.30 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9430,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9435 , Kerr Endodontics , 813-825-9435 ,ZenFlex Gutta Percha Points .04/0.35 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9435,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9440 , Kerr Endodontics , 813-825-9440 ,ZenFlex Gutta Percha Points .04/0.40 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9440,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9445 , Kerr Endodontics , 813-825-9445 ,ZenFlex Gutta Percha Points .04/0.45 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9445,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9620 , Kerr Endodontics , 813-825-9620 ,ZenFlex Gutta Percha Points .06/0.20 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9620,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9625 , Kerr Endodontics , 813-825-9625 ,ZenFlex Gutta Percha Points .06/0.25 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9625,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9630 , Kerr Endodontics , 813-825-9630 ,ZenFlex Gutta Percha Points .06/0.30 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9630,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9635 , Kerr Endodontics , 813-825-9635 ,ZenFlex Gutta Percha Points .06/0.35 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9635,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9640 , Kerr Endodontics , 813-825-9640 ,ZenFlex Gutta Percha Points .06/0.40 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9640,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9645 , Kerr Endodontics , 813-825-9645 ,ZenFlex Gutta Percha Points .06/0.45 50/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,50,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9645,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9400 , Kerr Endodontics , 813-825-9400 ,ZenFlex Gutta Percha Points ASTD .04 Taper 60/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,60,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9400,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-825-9600 , Kerr Endodontics , 813-825-9600 ,ZenFlex Gutta Percha Points ASTD .06 Taper 60/Pk,"ZenFlex Gutta Percha Points match with the same canals shaped by ZenFlex NiTi
Files. Choose the corresponding size, taper and length to meet the needs of
each root canal procedure.

", Supplies ,Endodontics,Pk,60,https://www.dcdental.com/ZenFlex-Gutta-Percha-Points-825-9600,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-506331 , Directa Dental , 736-506331 ,Luxator Kit 7/Pk,"

", Supplies ,Instruments,Pk,7,https://www.dcdental.com/-506331,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 666-80349691 , Procter & Gamble , 666-80349691 ,Oral-B Implant System Electric Toothbrush Bundle 3/Pk,"Comes in a Reusable Tote Bag Containing: Oral-B GENIUS X Professional
Exclusive Electric Toothbrush with Artificial Intelligence, Crest PRO-HEALTH
Gum Detoxify Toothpaste (4.1oz), Crest PRO-HEALTH Multi-Protection Clean Mint
Mouthwash (250mL), Oral-B Superfloss, Oral-B Complete Sensitive Manual
Toothbrush, Oral-B Precision Clean Interdental Brush (20ct). Brush Head
Refills Include: Pro GumCare, CrossAction, FlossAction, Sensitive Gum Care,
Interproximal Clean.

", Supplies ,Preventives,Pk,3,https://www.dcdental.com/Oral-B-Implant-System-Electric-Toothbrush-80349691,https://www.dcdental.com/images/337702760377.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 380-1228-C , Medicom , 380-1228-C ,Ocean Pacific NeoNatural Chloroprene Glove Green 100/Box Medium,"Chloroprene combines the softness of latex with the strength of nitrile for
reliable protection without sacrificing comfort or dexterity. This versatile
all-purpose glove stands out in exquisite emerald green. Textured fingertips
for a secure grip, even when wet. Chemo-tested and chemical resistant.

", Supplies ,Infection Control,Box Medium,100,https://www.dcdental.com/Ocean-Pacific-NeoNatural-1228-C,https://www.dcdental.com/images/781175610866.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 116-508704 , Johnson Promident , 116-508704 ,Ultrasonic Insert Tips 30K DF-100 Thin-Straight,"Full range of ultrasonic inserts for Cavitron scaler systems. Economical and
designed to provide optimal access for scaling efficiency and maximum comfort
for both patient and user.

  * Fully autoclavable
  * Choice of styles available
  * The better choice of inserts at highly competitive prices
  * Resin or metal handles

", Supplies ,Preventives,,,https://www.dcdental.com/Cavitron-Type-Insert-508704,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 380-1228-D , Medicom , 380-1228-D ,Ocean Pacific NeoNatural Chloroprene Glove Green 100/Box Large,"Chloroprene combines the softness of latex with the strength of nitrile for
reliable protection without sacrificing comfort or dexterity. This versatile
all-purpose glove stands out in exquisite emerald green. Textured fingertips
for a secure grip, even when wet. Chemo-tested and chemical resistant.

", Supplies ,Infection Control,Box Large,100,https://www.dcdental.com/Ocean-Pacific-NeoNatural-1228-D,https://www.dcdental.com/images/734103117227.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 380-1228-E , Medicom , 380-1228-E ,Ocean Pacific NeoNatural Chloroprene Glove Green 100/Box X-Large,"Chloroprene combines the softness of latex with the strength of nitrile for
reliable protection without sacrificing comfort or dexterity. This versatile
all-purpose glove stands out in exquisite emerald green. Textured fingertips
for a secure grip, even when wet. Chemo-tested and chemical resistant.

", Supplies ,Infection Control,Box X-Large,100,https://www.dcdental.com/Ocean-Pacific-NeoNatural-1228-E,https://www.dcdental.com/images/318464363631.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 605-50Z340G , Zirc Dental Products , 605-50Z340G ,Soft Grip Handle Cone-Socket Beige,"  * Contains Antimicrobial Protection
  * Autoclavable up to 136°C/275°F
  * Washer-disinfect
  * Cone Socket

", Supplies ,Instruments,,,https://www.dcdental.com/Grip-Handles-50Z340G,https://www.dcdental.com/images/164575216829.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 644-ZLR1012A , Denmat , 644-ZLR1012A ,NV PRO3 Microlaser Disposable Laser Tips 5mm 25/Pk Regular,"The NV PRO3 Microlaser has set new quality levels for convenience, portability
and ease of use among all dental soft-tissue diode lasers. The next-generation
NV PRO3 Microlaser continues that award-winning tradition. Optimized for all
of your periodontal, restorative and orthodontic procedural needs, the latest
evolution in cordless soft-tissue lasers enables you to deliver the benefits
of laser dentistry to each patient, while increasing practice production
across all departments.

  * (25) 400um 5mm Disposable Laser Tips for NV® PRO3 Microlaser

", Supplies ,Surgical Products,Pk Regular,25,https://www.dcdental.com/NV-Pro3-Microlaser-ZLR1012A,https://www.dcdental.com/images/320514712726.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 644-ZLR1013A , Denmat , 644-ZLR1013A ,NV PRO3 Microlaser Disposable Laser Tips 7mm 25/Pk Perio,"The NV PRO3 Microlaser has set new quality levels for convenience, portability
and ease of use among all dental soft-tissue diode lasers. The next-generation
NV PRO3 Microlaser continues that award-winning tradition. Optimized for all
of your periodontal, restorative and orthodontic procedural needs, the latest
evolution in cordless soft-tissue lasers enables you to deliver the benefits
of laser dentistry to each patient, while increasing practice production
across all departments.

  * (25) 400um 7mm Disposable Laser Tips for NV® PRO3 Microlaser

", Supplies ,Surgical Products,Pk Perio,25,https://www.dcdental.com/NV-Pro3-Microlaser-ZLR1013A,https://www.dcdental.com/images/280548024069.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 605-50Z340A , Zirc Dental Products , 605-50Z340A ,Soft Grip Handle Cone-Socket White,"  * Contains Antimicrobial Protection
  * Autoclavable up to 136°C/275°F
  * Washer-disinfect
  * Cone Socket

", Supplies ,Instruments,,,https://www.dcdental.com/Grip-Handles-50Z340A,https://www.dcdental.com/images/171748665063.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 605-50Z340J , Zirc Dental Products , 605-50Z340J ,Soft Grip Handle Cone-Socket Teal,"  * Contains Antimicrobial Protection
  * Autoclavable up to 136°C/275°F
  * Washer-disinfect
  * Cone Socket

", Supplies ,Instruments,,,https://www.dcdental.com/Grip-Handles-50Z340J,https://www.dcdental.com/images/580022170009.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 605-50Z340B , Zirc Dental Products , 605-50Z340B ,Soft Grip Handle Cone-Socket Blue,"  * Contains Antimicrobial Protection
  * Autoclavable up to 136°C/275°F
  * Washer-disinfect
  * Cone Socket

", Supplies ,Instruments,,,https://www.dcdental.com/Grip-Handles-50Z340B,https://www.dcdental.com/images/501604718273.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 605-50Z340D , Zirc Dental Products , 605-50Z340D ,Soft Grip Handle Cone-Socket Green,"  * Contains Antimicrobial Protection
  * Autoclavable up to 136°C/275°F
  * Washer-disinfect
  * Cone Socket

", Supplies ,Instruments,,,https://www.dcdental.com/Grip-Handles-50Z340D,https://www.dcdental.com/images/450728127235.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 605-50Z340I , Zirc Dental Products , 605-50Z340I ,Soft Grip Handle Cone-Socket Gray,"  * Contains Antimicrobial Protection
  * Autoclavable up to 136°C/275°F
  * Washer-disinfect
  * Cone Socket

", Supplies ,Instruments,,,https://www.dcdental.com/Grip-Handles-50Z340I,https://www.dcdental.com/images/314267123601.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 605-50Z340M , Zirc Dental Products , 605-50Z340M ,Soft Grip Handle Cone-Socket Red,"  * Contains Antimicrobial Protection
  * Autoclavable up to 136°C/275°F
  * Washer-disinfect
  * Cone Socket

", Supplies ,Instruments,,,https://www.dcdental.com/Grip-Handles-50Z340M,https://www.dcdental.com/images/644814215108.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 317-61028 , DMG America , 317-61028 ,Zenith Premium Alloy 3 Spill 800MG RS 500/Jar,"Zenith Premium Dispersed Phase Amalgam Alloy is a long lasting, condensable
alloy that exhibits excellent handling characteristics and high compressive
strength.  
  
The condensable alloy ensures good marginal integrity and eliminates open
contacts while providing longer lasting and corrosion resistant restorations.  
  
The self-activating capsule does not require pinching or twisting of the
capsule to open as well as a one-step trituration without the use of an
activator tool.  
  
The color-coded capsules make it easy to differentiate between types and
spills.

", Supplies ,Alloys,Jar,500,https://www.dcdental.com/Zenith-Premium-Alloy-3-Spill-800MG-RS-500-Jar,https://www.dcdental.com/images/617333372751.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 605-50Z340S , Zirc Dental Products , 605-50Z340S ,Soft Grip Handle Cone-Socket Neon Pink,"  * Contains Antimicrobial Protection
  * Autoclavable up to 136°C/275°F
  * Washer-disinfect
  * Cone Socket

", Supplies ,Instruments,,,https://www.dcdental.com/Grip-Handles-50Z340S,https://www.dcdental.com/images/740807036214.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 648-16-5010863 ," J Morita USA, Inc. ", 648-16-5010863 ,TwinPower Turbine 4HX Capsule Cartridge High Torque,"TwinPower Turbine 4HX Capsule Cartridge High Torque

", Supplies ,Handpieces,,,https://www.dcdental.com/TwinPower-16-5010863,https://www.dcdental.com/images/822727005065.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 145-0503 , Shofu Dental Corp. , 145-0503 ,Super-Snap Singles Mini Size Disk,"Super-Snap is designed for easy, fast and safe contouring, finishing and
polishing of all microfilled and hybrid composites. Super-Snap Singles are
disposable single patient use packages.

  * 1 disk of coarse, medium, fine, super fine grits, Super-Snap plastic CA mandrel
  * Elastic silicone shank mount for easy placement of the disk onto the mandrel
  * Manufactured without a metal center
  * Very flexible, ultra-thin disks allow easy access to inter-proximal areas
  * Two sizes – four grits (silicon carbide and aluminum oxide)
  * Use Super-Snap for: composites

", Supplies ,Finishing & Polishing,,,https://www.dcdental.com/Super-Snap-Singles-Mini-Size-Disk,https://www.dcdental.com/images/550616688081.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 648-16-5010872 ," J Morita USA, Inc. ", 648-16-5010872 ,TwinPower Turbine 4HMX Capsule Cartridge Ceramic Bearing Mini Head,"TwinPower Turbine Mini Head Ceramic Bearing 4HMX

", Supplies ,Handpieces,,,https://www.dcdental.com/TwinPower-16-5010872,https://www.dcdental.com/images/722485154527.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-UC360 , Coltene/Whaledent , 777-UC360 ,"UC125 Replacement Drain Hose 5/8"" Each","UC125 Replacement Drain Hose 5/8"" Each

", Supplies ,Small Equipment,,,https://www.dcdental.com/Biosonic-UC360,https://www.dcdental.com/images/422181813024.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 900-1149 , Dedeco International , 900-1149 ,Hi-Glaze Diamond-Filled Silicone Midget Polishers RA Knife 3/Pk Fine,"  * Diamond-Filled Silicone Polishers. 3-step diamond-filled silicone rubber system for adjusting, smoothing and brilliant ""hi-glaze"" polishing of porcelain, zirconium, lithium disilicate & e.max. Eliminates the need for polishing paste or reglazing. Preferred choice for adjusting metals. 
  * 3-step diamond-filled silicone rubber system for adjusting, smoothing and brilliant ""hi-glaze"" polishing of porcelain,  zirconium, lithium disilicate & e.max.  Eliminates the need for polishing paste or reglazing.  Preferred choice for adjusting metals. ""Long-lasting"".

", Supplies ,Finishing & Polishing,Pk Fine,3,https://www.dcdental.com/Hi-glaze-Polishers-1149,https://www.dcdental.com/images/383400113229.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 605-50Z340R , Zirc Dental Products , 605-50Z340R ,Soft Grip Handle Cone-Socket Neon Purple,"  * Contains Antimicrobial Protection
  * Autoclavable up to 136°C/275°F
  * Washer-disinfect
  * Cone Socket

", Supplies ,Instruments,,,https://www.dcdental.com/Grip-Handles-50Z340R,https://www.dcdental.com/images/882378772709.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 900-1150 , Dedeco International , 900-1150 ,Hi-Glaze Diamond-Filled Silicone Midget Polishers FG Mini 3/Pk Fine,"  * 3-step diamond-filled silicone rubber system for adjusting, smoothing and brilliant ""hi-glaze"" polishing of porcelain, zirconium, lithium disilicate & e.max. Eliminates the need for polishing paste or reglazing. Preferred choice for adjusting metals. ""Long-lasting"". 
  * Diamond-Filled Silicone Polishers. 3-step diamond-filled silicone rubber system for adjusting, smoothing and brilliant ""hi-glaze"" polishing of porcelain,  zirconium, lithium disilicate & e.max.  Eliminates the need for polishing paste or reglazing.  Preferred choice for adjusting metals.

", Supplies ,Finishing & Polishing,Pk Fine,3,https://www.dcdental.com/Hi-glaze-Polishers-1150,https://www.dcdental.com/images/661716884072.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 326-F87542 , Acteon , 326-F87542 ,Surgical Extraction Tip LC2- 2,"Piezotome Extraction Piezo Tip LC2

", Supplies ,Surgical Products,,,https://www.dcdental.com/Surgical-Ultrasonic-Tips-F87542,https://www.dcdental.com/images/866213356866.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 995-VP-8104T , Mydent International , 995-VP-8104T ,Mixing Tips T-Style 48/Pk Teal,"The new mixing technology provides less material waste and consistently high
mixing quality. The changeover to the New T-Mix tips is seamless: 100%
compatible with the existing MIXPAC systems is guaranteed, as before, all
original accessories fit.

", Supplies ,Impression Material,Pk Teal,48,https://www.dcdental.com/T-Mix-Mixing-Tips-VP-8104T,https://www.dcdental.com/images/336277153430.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 380-1185-A , Medicom , 380-1185-A ,SafeBasics True Fit Thin Nitrile Glove Blue 300/Box X-Small,"Versatile all-purpose-glove made with the unrivaled strength and durability of
nitrile to deliver enhanced barrier protection and exceptional fit. Textured
fingertips ensure a secure grip, even when wet. Chemo-tested.

  * Powder Free
  * Non-Sterile Textured fingertips
  * Thin (Ultra – 1.8 g)
  * Fentanyl safe, Optimal tactile sensitivity, Value option 

", Supplies ,Infection Control,Box X-Small,300,https://www.dcdental.com/SafeBasics-True-Fit-Thin-1185-A,https://www.dcdental.com/images/161763046459.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 380-1185-B , Medicom , 380-1185-B ,SafeBasics True Fit Thin Nitrile Glove Blue 300/Box Small,"Versatile all-purpose-glove made with the unrivaled strength and durability of
nitrile to deliver enhanced barrier protection and exceptional fit. Textured
fingertips ensure a secure grip, even when wet. Chemo-tested.

  * Powder Free
  * Non-Sterile Textured fingertips
  * Thin (Ultra – 1.8 g)
  * Fentanyl safe, Optimal tactile sensitivity, Value option 

", Supplies ,Infection Control,Box Small,300,https://www.dcdental.com/SafeBasics-True-Fit-Thin-1185-B,https://www.dcdental.com/images/470645247540.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 380-1228-A , Medicom , 380-1228-A ,Ocean Pacific NeoNatural Chloroprene Glove Green 100/Box X-Small,"Chloroprene combines the softness of latex with the strength of nitrile for
reliable protection without sacrificing comfort or dexterity. This versatile
all-purpose glove stands out in exquisite emerald green. Textured fingertips
for a secure grip, even when wet. Chemo-tested and chemical resistant.

", Supplies ,Infection Control,Box X-Small,100,https://www.dcdental.com/Ocean-Pacific-NeoNatural-1228-A,https://www.dcdental.com/images/448275133526.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 380-1185-D , Medicom , 380-1185-D ,SafeBasics True Fit Thin Nitrile Glove Blue 300/Box Large,"Versatile all-purpose-glove made with the unrivaled strength and durability of
nitrile to deliver enhanced barrier protection and exceptional fit. Textured
fingertips ensure a secure grip, even when wet. Chemo-tested.

  * Powder Free
  * Non-Sterile Textured fingertips
  * Thin (Ultra – 1.8 g)
  * Fentanyl safe, Optimal tactile sensitivity, Value option 

", Supplies ,Infection Control,Box Large,300,https://www.dcdental.com/SafeBasics-True-Fit-Thin-1185-D,https://www.dcdental.com/images/656326632366.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 380-1185-C , Medicom , 380-1185-C ,SafeBasics True Fit Thin Nitrile Glove Blue 300/Box Medium,"Versatile all-purpose-glove made with the unrivaled strength and durability of
nitrile to deliver enhanced barrier protection and exceptional fit. Textured
fingertips ensure a secure grip, even when wet. Chemo-tested.

  * Powder Free
  * Non-Sterile Textured fingertips
  * Thin (Ultra – 1.8 g)
  * Fentanyl safe, Optimal tactile sensitivity, Value option 

", Supplies ,Infection Control,Box Medium,300,https://www.dcdental.com/SafeBasics-True-Fit-Thin-1185-C,https://www.dcdental.com/images/118323236652.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 380-1185-E , Medicom , 380-1185-E ,SafeBasics True Fit Thin Nitrile Glove Blue 300/Box X-Large,"Versatile all-purpose-glove made with the unrivaled strength and durability of
nitrile to deliver enhanced barrier protection and exceptional fit. Textured
fingertips ensure a secure grip, even when wet. Chemo-tested.

  * Powder Free
  * Non-Sterile Textured fingertips
  * Thin (Ultra – 1.8 g)
  * Fentanyl safe, Optimal tactile sensitivity, Value option 

", Supplies ,Infection Control,Box X-Large,300,https://www.dcdental.com/SafeBasics-True-Fit-Thin-1185-E,https://www.dcdental.com/images/665372648566.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 380-1228-B , Medicom , 380-1228-B ,Ocean Pacific NeoNatural Chloroprene Glove Green 100/Box Small,"Chloroprene combines the softness of latex with the strength of nitrile for
reliable protection without sacrificing comfort or dexterity. This versatile
all-purpose glove stands out in exquisite emerald green. Textured fingertips
for a secure grip, even when wet. Chemo-tested and chemical resistant.

", Supplies ,Infection Control,Box Small,100,https://www.dcdental.com/Ocean-Pacific-NeoNatural-1228-B,https://www.dcdental.com/images/542154734733.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 648-16-5011010 ," J Morita USA, Inc. ", 648-16-5011010 ,TwinPower Turbine 4HEX-45 Capsule Cartridge Ceramic Bearing,"TwinPower Turbine 4HEX-45 Capsule Cartridge Ceramic Bearing

", Supplies ,Handpieces,,,https://www.dcdental.com/TwinPower-16-5011010,https://www.dcdental.com/images/218365620812.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 317-143020 , DMG America , 317-143020 ,Temp Tabs 72/Pk Blue,"Temp tabs are a flexible thermoplastic tab for fabricating temporary crowns
and bridges or quick bite registrations that can easily be molded and adjusted
for accuracy. Temp Tabs are biocompatible, low-cost, low- tech, and
biodegradable, with a unique, blend of flexibility and rigidity.  
  
Benefits:

  * Biocompatible
  * Biodegradable
  * Easy to trim
  * Re-heatable
  * Stays clear for ID in the mouth
  * Great control for flexibility
  * No Cartridge, gun, or tray required
  * No messy mixing or cleanup
  * Easy for patient comfort

", Supplies ,Acrylics,Pk Blue,72,https://www.dcdental.com/Temp-Tabs-72-Pk-Blue,https://www.dcdental.com/images/718182814215.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 333-CI-DF10025 , 3D Dental Designs & Development , 333-CI-DF10025 ,Dream Ultrasonic Insert 25K DF-100 Thin Style,"Dream Ultrasonic Inserts bring yet another exciting member to the respected
Dream line of Hygiene must-haves. Available in both 25K and 30K sizes and
compatible with virtually every ultrasonic scaler (stack-type) presently in
use. This insert delivers superb quality and affordability.  
  
Advantages:

  * Compatible with virtually all ultrasonic stack-type scalers.
  * Available in in 25K and 30K Sizes

", Supplies ,Preventives,,,https://www.dcdental.com/Dream-Ultrasonic-Insert-30K-DF-100-Thin-Style,https://www.dcdental.com/images/767137631070.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 317-143033 , DMG America , 317-143033 ,Temp Tabs 72/Pk Natural,"Temp tabs are a flexible thermoplastic tab for fabricating temporary crowns
and bridges or quick bite registrations that can easily be molded and adjusted
for accuracy. Temp Tabs are biocompatible, low-cost, low- tech, and
biodegradable, with a unique, blend of flexibility and rigidity.  
  
Benefits:

  * Biocompatible
  * Biodegradable
  * Easy to trim
  * Re-heatable
  * Stays clear for ID in the mouth
  * Great control for flexibility
  * No Cartridge, gun, or tray required
  * No messy mixing or cleanup
  * Easy for patient comfort

", Supplies ,Acrylics,Pk Natural,72,https://www.dcdental.com/Temp-Tabs-72-Pk-Natural,https://www.dcdental.com/images/836002543678.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 333-CI-DF10030 , 3D Dental Designs & Development , 333-CI-DF10030 ,Dream Ultrasonic Insert 30K DF-100 Thin Style,"Dream Ultrasonic Inserts bring yet another exciting member to the respected
Dream line of Hygiene must-haves. Available in both 25K and 30K sizes and
compatible with virtually every ultrasonic scaler (stack-type) presently in
use. This insert delivers superb quality and affordability.  
  
Advantages:

  * Compatible with virtually all ultrasonic stack-type scalers.
  * Available in in 25K and 30K Sizes

", Supplies ,Preventives,,,https://www.dcdental.com/Dream-Ultrasonic-Insert-25K-DF-100-Thin-Style,https://www.dcdental.com/images/471741427102.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 333-CI-DF100025 , 3D Dental Designs & Development , 333-CI-DF100025 ,Dream Ultrasonic Insert 25K DF-1000 Triple Bend,"Dream Ultrasonic Inserts bring yet another exciting member to the respected
Dream line of Hygiene must-haves. Available in both 25K and 30K sizes and
compatible with virtually every ultrasonic scaler (stack-type) presently in
use. This insert delivers superb quality and affordability.  
  
Advantages:

  * Compatible with virtually all ultrasonic stack-type scalers.
  * Available in in 25K and 30K Sizes

", Supplies ,Preventives,,,https://www.dcdental.com/Dream-Ultrasonic-Insert-25K-DF-1000-Triple-Bend,https://www.dcdental.com/images/272320630889.01.png?resizeid=2&resizeh=600&resizew=600
