Seller Platform,Seller SKu,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty ,Categories,Subcategories,Product URL,Image URL
Office Depot,487104,3M CO,38502ST,"Scotch&reg; Heavy-Duty Shipping Packing Tape With Dispenser, 1-7/8&quot; x 54.6 Yd., Clear, Pack Of 2 Rolls","Now even the heaviest packages can withstand rough handling. Our Scotch® Heavy Duty Shipping Packaging Tape holds strong on all box types, including 100% recycled boxes. It's even guaranteed to stay sealed.* The strong, tough, solvent free hot melt adhesive locks in your heavy duty contents and locks out everything else. You don’t need layers of tape to get the job done-just one strip at a time-so you save time. Your heavy packages can bear the weight and stay sealed through it all with Scotch® Heavy Duty packaging tape.  Guaranteed to Stay Sealed* (*If your box does not stay sealed, 3M will refund the purchase price of this tape. Proof of purchase required. Contact: 1-800-3MHELPS).  Provides excellent holding power for heavy-duty packaging and shipping.  Strong seal on all box types, including hard-to-stick-to 100% recycled boxes.  Strong, durable solvent-free hot melt adhesive seals and protects.  Release coating makes unwind easy. Resists slivering, splitting and tearing.  Scotch™ Brand’s strongest clear-to-the-core packaging tape.  Clear backing and instant adhesion.  Heavy duty seal, even through rough handling.  You don't need layers of tape to get the job done - Just one strip - so you save time.  Your heavy packages can bear the weight and stay sealed through it all.  Meets U.S. Postal regulations for standard packages.  Includes 2 rolls of Scotch shipping tape.  Backed by the manufacturer's Stay Sealed guarantee.",,,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/487104/Scotch-Heavy-Duty-Shipping-Packing-Tape/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/487104/487104_o01_32022/487104_o01_32022,https://media.officedepot.com/images/products/487104/487104_o02_32022/487104_o02_32022,https://media.officedepot.com/images/products/487104/487104_o03_32022/487104_o03_32022,https://media.officedepot.com/images/products/487104/487104_o04_32022/487104_o04_32022,https://media.officedepot.com/images/products/487104/487104_o05_32022/487104_o05_32022,https://media.officedepot.com/images/products/487104/487104_o06_32022/487104_o06_32022,https://media.officedepot.com/images/products/487104/487104_o07_32022/487104_o07_32022,https://media.officedepot.com/images/products/487104/487104_o08_32022/487104_o08_32022,https://media.officedepot.com/images/products/487104/487104_o09_32022/487104_o09_32022,https://media.officedepot.com/images/products/487104/487104_o10_32022/487104_o10_32022,https://media.officedepot.com/images/products/487104/487104_o11_32022/487104_o11_32022,https://media.officedepot.com/images/products/487104/487104_o12_32022/487104_o12_32022"
Office Depot,487120,3M CO,38504RD,"Scotch&reg; Heavy-Duty Shipping Packing Tape With Dispenser, 1 7/8&quot; x 54.6 Yd., Pack Of 4","Now even the heaviest packages can withstand rough handling. Our Scotch Heavy Duty Shipping Packaging Tape holds strong on all box types, including 100% recycled boxes. It's even guaranteed to stay sealed. The strong, tough, solvent free hot melt adhesive locks in your heavy duty contents and locks out everything else. You don’t need layers of tape to get the job done-just one strip at a time-so you save time. Your heavy packages can bear the weight and stay sealed through it all with Scotch Heavy Duty packaging tape.  Guaranteed to Stay Sealed* (*If your box does not stay sealed, 3M will refund the purchase price of this tape. Proof of purchase required. Contact: 1-800-3MHELPS).  Provides excellent holding power for heavy-duty packaging and shipping.  Strong seal on all box types, including hard-to-stick-to 100% recycled boxes.  Strong, durable solvent-free hot melt adhesive seals and protects.  3.1 mil thick.  Scotch™ Brand’s strongest clear-to-the-core packaging tape.  Clear backing and instant adhesion.  Heavy duty seal, even through rough handling.  You don't need layers of tape to get the job done - Just one strip - so you save time.  Your heavy packages can bear the weight and stay sealed through it all.  Meets U.S. Postal regulations for standard packages.  Includes refillable hand-held packaging tape dispensers.",,,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/487120/Scotch-Heavy-Duty-Shipping-Packing-Tape/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/487120/487120_o01_32022/487120_o01_32022,https://media.officedepot.com/images/products/487120/487120_o02_32022/487120_o02_32022,https://media.officedepot.com/images/products/487120/487120_o03_32022/487120_o03_32022,https://media.officedepot.com/images/products/487120/487120_o04_32022/487120_o04_32022,https://media.officedepot.com/images/products/487120/487120_o05_32022/487120_o05_32022,https://media.officedepot.com/images/products/487120/487120_o06_32022/487120_o06_32022,https://media.officedepot.com/images/products/487120/487120_o07_32022/487120_o07_32022,https://media.officedepot.com/images/products/487120/487120_o08_32022/487120_o08_32022,https://media.officedepot.com/images/products/487120/487120_o11_32022/487120_o11_32022,https://media.officedepot.com/images/products/487120/487120_o12_32022/487120_o12_32022,https://media.officedepot.com/images/products/487120/487120_o13_32022/487120_o13_32022,https://media.officedepot.com/images/products/487120/487120_o14_32022/487120_o14_32022"
Office Depot,391750,3M CO,3850-18CP,"Scotch&reg; Heavy-Duty Shipping Packing Tape, 1-7/8&quot; x 54.6 Yd., Pack Of 18 Rolls","Now even the heaviest packages can withstand rough handling. Our Scotch® Heavy Duty Shipping Packaging Tape holds strong on all box types, including 100% recycled boxes. It's even guaranteed to stay sealed.* The strong, tough, solvent free hot melt adhesive locks in your heavy duty contents and locks out everything else. You don’t need layers of tape to get the job done-just one strip at a time-so you save time. Your heavy packages can bear the weight and stay sealed through it all with Scotch® Heavy Duty packaging tape.  Guaranteed to Stay Sealed* (*If your box does not stay sealed, 3M will refund the purchase price of this tape. Proof of purchase required. Contact: 1-800-3MHELPS)  Provides excellent holding power for heavy-duty packaging and shipping.  Strong seal on all box types, including hard-to-stick-to 100% recycled boxes.  Strong, durable solvent-free hot melt adhesive seals and protects.  Release coating makes unwind easy. Resists slivering, splitting and tearing.  3.1 mil thick.  Scotch™ Brand’s strongest clear-to-the-core packaging tape.  Clear backing and instant adhesion.  Heavy duty seal, even through rough handling.  You don't need layers of tape to get the job done - Just one strip - so you save time.  Your heavy packages can bear the weight and stay sealed through it all.  Meets U.S. Postal regulations for standard packages.",,18,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/391750/Scotch-Heavy-Duty-Shipping-Packing-Tape/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/391750/391750_o01_32022/391750_o01_32022,https://media.officedepot.com/images/products/391750/391750_o02_32022/391750_o02_32022,https://media.officedepot.com/images/products/391750/391750_o03_32022/391750_o03_32022,https://media.officedepot.com/images/products/391750/391750_o04_32022/391750_o04_32022,https://media.officedepot.com/images/products/391750/391750_o05_32022/391750_o05_32022,https://media.officedepot.com/images/products/391750/391750_o06_32022/391750_o06_32022,https://media.officedepot.com/images/products/391750/391750_o07_32022/391750_o07_32022,https://media.officedepot.com/images/products/391750/391750_o08_32022/391750_o08_32022,https://media.officedepot.com/images/products/391750/391750_o09_32022/391750_o09_32022,https://media.officedepot.com/images/products/391750/391750_o10_32022/391750_o10_32022,https://media.officedepot.com/images/products/391750/391750_o11_32022/391750_o11_32022,https://media.officedepot.com/images/products/391750/391750_o12_32022/391750_o12_32022"
Office Depot,363792,3M CO,MMM38506,"Scotch&reg; Heavy-Duty Shipping Packing Tape, 1-7/8&quot; x 54.6 Yd., Clear, Pack Of 6 Rolls","Now even the heaviest packages can withstand rough handling. Our Scotch® Heavy Duty Shipping Packaging Tape holds strong on all box types, including 100% recycled boxes. It's even guaranteed to stay sealed.* The strong, tough, solvent free hot melt adhesive locks in your heavy duty contents and locks out everything else. You don’t need layers of tape to get the job done-just one strip at a time-so you save time. Your heavy packages can bear the weight and stay sealed through it all with Scotch® Heavy Duty packaging tape.  Guaranteed to Stay Sealed* (*If your box does not stay sealed, 3M will refund the purchase price of this tape. Proof of purchase required. Contact: 1-800-3MHELPS)  Provides excellent holding power for heavy-duty packaging and shipping.  Strong seal on all box types, including hard-to-stick-to 100% recycled boxes.  Strong, durable solvent-free hot melt adhesive seals and protects.  Release coating makes unwind easy. Resists slivering, splitting and tearing.  3.1 mil thick.  Scotch™ Brand’s strongest clear-to-the-core packaging tape.  Clear backing and instant adhesion.  Heavy duty seal, even through rough handling.  You don't need layers of tape to get the job done - Just one strip - so you save time.  Your heavy packages can bear the weight and stay sealed through it all.  Meets U.S. Postal regulations for standard packages.  Clear.  6 rolls of Scotch shipping tape.",,,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/363792/Scotch-Heavy-Duty-Shipping-Packing-Tape/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/363792/363792_o01_31722/363792_o01_31722,https://media.officedepot.com/images/products/363792/363792_o02_31722/363792_o02_31722,https://media.officedepot.com/images/products/363792/363792_o03_31722/363792_o03_31722,https://media.officedepot.com/images/products/363792/363792_o04_31722/363792_o04_31722,https://media.officedepot.com/images/products/363792/363792_o05_31722/363792_o05_31722,https://media.officedepot.com/images/products/363792/363792_o06_31722/363792_o06_31722,https://media.officedepot.com/images/products/363792/363792_o07_31722/363792_o07_31722,https://media.officedepot.com/images/products/363792/363792_o08_31722/363792_o08_31722,https://media.officedepot.com/images/products/363792/363792_o09_31722/363792_o09_31722,https://media.officedepot.com/images/products/363792/363792_o12_31722/363792_o12_31722,https://media.officedepot.com/images/products/363792/363792_o13_31722/363792_o13_31722,https://media.officedepot.com/images/products/363792/363792_o14_31722/363792_o14_31722"
Office Depot,342673,SHURTAPE TECHNOLOGIES,DUC299016,"Duck&reg; HD Clear&trade; Heavy-Duty Packaging Tape, 1-7/8&quot; x 109.4 Yd., Crystal Clear, Pack Of 6 Rolls","Finish your packages with Duck Brand HD packaging tape. Not only does this packing tape keep boxes sealed and secure, but it also helps them look good, too. The HD Clear design offers a smooth, clean appearance that doesn't obscure important labels and illustrations. Plus, the adhesive boasts a long shelf life that's great for putting boxes into storage.  Handles heavy-duty applications.  HD Clear tape can go on top of shipping labels.  UV-resistant design prevents yellowing.  Adhesive bond gets stronger with time.  Rated for 14° to 140° temperatures.  Great for storage.  Meets U.S. postal regulations.  Includes multiple rolls of Duck packing tape.",,6,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/342673/Duck-HD-Clear-Heavy-Duty-Packaging/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/342673/342673_o01_duck_hd_clear_heavy_duty_packaging_tape_100319/342673_o01_duck_hd_clear_heavy_duty_packaging_tape_100319,https://media.officedepot.com/images/products/342673/342673_o02_duck_hd_clear_heavy_duty_packaging_tape_100319/342673_o02_duck_hd_clear_heavy_duty_packaging_tape_100319,https://media.officedepot.com/images/products/342673/342673_o51_et_7684483_duck_hd_clear_heavy_duty_packaging_tape_100319/342673_o51_et_7684483_duck_hd_clear_heavy_duty_packaging_tape_100319,https://media.officedepot.com/images/products/342673/342673_o61_et_4313863_duck_hd_clear_heavy_duty_packaging_tape_100319/342673_o61_et_4313863_duck_hd_clear_heavy_duty_packaging_tape_100319"
Office Depot,605004,3M CO,MMM1456,"Scotch&reg; Sure Start Shipping Tape With Dispenser, 1-7/8&quot; x 22.2 Yd., Clear, Pack Of 6 Rolls","When you’re in the middle of packing boxes, the last thing you want to do is search endlessly for the end of the tape. The search is over with Scotch® Sure Start Shipping Packaging Tape. This tough, strong tape comes off the roll easily and smoothly with no slivering or splitting. This tape also delivers a smooth and quiet unwind, and when it quietly unwinds off the roll (using the uniquely designed refillable dispenser, included) and is applied to your package, it stays on-keeping your package securely sealed. Clear to the core, Scotch® Sure Start Packaging Tape works beautifully for home and office. It stands up to rough handling-but so easy to handle. Scotch® Sure Start Shipping Packaging Tape-always easy, always ready to help you get the job done.  Easy start every time  Smooth and quiet unwind perfect for office settings  Strong, durable hot melt adhesive keeps packages secure  Tough 2.6 mil thickness takes on rough handling  Resists splintering, slivering, tearing  Available in multiple sizes and packouts  Clear to the Core  Clear when applied to boxes  Hot melt adhesive seals securely and ensures you don’t need layers of tape  Seals packages quietly and easily  Includes 6 rolls of Scotch heavy-duty shipping tape with dispensers.",,6,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/605004/Scotch-Sure-Start-Shipping-Tape-With/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/605004/605004_o01_111620/605004_o01_111620,https://media.officedepot.com/images/products/605004/605004_o02_111620/605004_o02_111620,https://media.officedepot.com/images/products/605004/605004_o03_111620/605004_o03_111620,https://media.officedepot.com/images/products/605004/605004_o04_111620/605004_o04_111620,https://media.officedepot.com/images/products/605004/605004_o05_111620/605004_o05_111620,https://media.officedepot.com/images/products/605004/605004_o06_111620/605004_o06_111620,https://media.officedepot.com/images/products/605004/605004_o07_111620/605004_o07_111620,https://media.officedepot.com/images/products/605004/605004_o08_111620/605004_o08_111620"
Office Depot,650457,3M CO,142NA,"Scotch&reg; Heavy-Duty Shipping Tape With Dispenser, 1-7/8&quot; x 22.2 Yd., Clear","Now even the heaviest packages can withstand rough handling. Our Scotch® Heavy Duty Shipping Packaging Tape holds strong on all box types, including 100% recycled boxes. It's even guaranteed to stay sealed.* The strong, tough, solvent free hot melt adhesive locks in your heavy duty contents and locks out everything else. You don’t need layers of tape to get the job done-just one strip at a time-so you save time. Your heavy packages can bear the weight and stay sealed through it all with Scotch® Heavy Duty packaging tape.  Guaranteed to Stay Sealed* (*If your box does not stay sealed, 3M will refund the purchase price of this tape. Proof of purchase required. Contact: 1-800-3MHELPS).  Provides excellent holding power for heavy-duty packaging and shipping.  Strong seal on all box types, including hard-to-stick-to 100% recycled boxes.  Strong, durable solvent-free hot melt adhesive seals and protects.  Release coating makes unwind easy. Resists slivering, splitting and tearing.  Scotch™ Brand’s strongest clear-to-the-core packaging tape.  Clear backing and instant adhesion.  Heavy duty seal, even through rough handling.  You don't need layers of tape to get the job done - Just one strip - so you save time.  Your heavy packages can bear the weight and stay sealed through it all.  Meets U.S. Postal regulations for standard packages.  Clear for label protection.  Includes 1 roll of Scotch packing tape and 1 refillable handheld dispenser.",,1,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/650457/Scotch-Heavy-Duty-Shipping-Tape-With/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/650457/650457_o01_032022/650457_o01_032022,https://media.officedepot.com/images/products/650457/650457_o02_032022/650457_o02_032022,https://media.officedepot.com/images/products/650457/650457_o03_032022/650457_o03_032022,https://media.officedepot.com/images/products/650457/650457_o04_032022/650457_o04_032022,https://media.officedepot.com/images/products/650457/650457_o05_032022/650457_o05_032022,https://media.officedepot.com/images/products/650457/650457_o06_032022/650457_o06_032022,https://media.officedepot.com/images/products/650457/650457_o07_032022/650457_o07_032022,https://media.officedepot.com/images/products/650457/650457_o08_032022/650457_o08_032022,https://media.officedepot.com/images/products/650457/650457_o09_032022/650457_o09_032022,https://media.officedepot.com/images/products/650457/650457_o10_032022/650457_o10_032022,https://media.officedepot.com/images/products/650457/650457_o11_032022/650457_o11_032022,https://media.officedepot.com/images/products/650457/650457_o12_032022/650457_o12_032022"
Office Depot,380438,3M CO,1506,"Scotch&reg; Tough Grip Moving Packing Tape With Dispensers, 1-7/8&quot; x 22.2 Yd., Clear, Pack Of 6 Rolls","For a fully packed moving day, heavy boxes that bust at the bottom are the enemy. Put weight in its place with Scotch® Tough Grip Moving Packaging Tape. It easily handles moving boxes with up to 80 pounds of weight inside, and is guaranteed to stay sealed. What makes Scotch® Tough Grip Moving Tape so tough is its unique and strong hot melt adhesive-when the box is closed, it stays closed. As tough as it is, it slides off the roll smoothly, quietly and easily-a nice touch for a hard day of packing and moving. When you’ve got to get a grip on a big, heavyweight moving job-get a grip on Scotch® Tough Grip Moving Packaging Tape.  Secures up to 80 lbs of weight per box.  Stays sealed during rough handling and rough rides in a moving truck.  Durable hot melt adhesive stays on, stays strong for tough jobs.  Clear to the core.  Tough grip on all box types, including hard-to-stick boxes made with 100% recycled fibers.  Includes refillable dispenser with fall-back tabs to ensure tape doesn’t fall back on the roll.  Guaranteed to Stay Sealed (If your box does not stay sealed, 3M will refund the purchase price of this tape. Proof of purchase required. Contact: 1-800-3MHELPS).  Clear when applied to boxes.  Adheres well and holds strong on all box types.  Hot melt adhesive seals securely and ensures you don’t need layers of tape.  Quiet and easy unwind to ease all-day packing.  Resists splintering, slivering, tearing.  Clear for label protection.  Includes 6 rolls of Scotch heavy-duty shipping tape with dispensers.",,6,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/380438/Scotch-Tough-Grip-Moving-Packing-Tape/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/380438/380438_o01_32022/380438_o01_32022,https://media.officedepot.com/images/products/380438/380438_o02_32022/380438_o02_32022,https://media.officedepot.com/images/products/380438/380438_o03_32022/380438_o03_32022,https://media.officedepot.com/images/products/380438/380438_o04_32022/380438_o04_32022,https://media.officedepot.com/images/products/380438/380438_o05_32022/380438_o05_32022,https://media.officedepot.com/images/products/380438/380438_o06_32022/380438_o06_32022,https://media.officedepot.com/images/products/380438/380438_o07_32022/380438_o07_32022,https://media.officedepot.com/images/products/380438/380438_o08_32022/380438_o08_32022,https://media.officedepot.com/images/products/380438/380438_o09_32022/380438_o09_32022,https://media.officedepot.com/images/products/380438/380438_o10_32022/380438_o10_32022,https://media.officedepot.com/images/products/380438/380438_o11_32022/380438_o11_32022"
Office Depot,391362,3M CO,3850-CS36,"Scotch&reg; Heavy-Duty Shipping Packing Tape, 1-7/8&quot; x 54.6 Yd., Case Of 36 Rolls","Now even the heaviest packages can withstand rough handling. Our Scotch® Heavy Duty Shipping Packaging Tape holds strong on all box types, including 100% recycled boxes. It's even guaranteed to stay sealed.* The strong, tough, solvent free hot melt adhesive locks in your heavy duty contents and locks out everything else. You don’t need layers of tape to get the job done-just one strip at a time-so you save time. Your heavy packages can bear the weight and stay sealed through it all with Scotch® Heavy Duty packaging tape.  Guaranteed to Stay Sealed* (*If your box does not stay sealed, 3M will refund the purchase price of this tape. Proof of purchase required. Contact: 1-800-3MHELPS)  Provides excellent holding power for heavy-duty packaging and shipping.  Strong seal on all box types, including hard-to-stick-to 100% recycled boxes.  Strong, durable solvent-free hot melt adhesive seals and protects.  Release coating makes unwind easy. Resists slivering, splitting and tearing.  3.1 mil thick.  Scotch™ Brand’s strongest clear-to-the-core packaging tape.  Clear backing and instant adhesion.  Heavy duty seal, even through rough handling.  You don't need layers of tape to get the job done - Just one strip - so you save time.  Your heavy packages can bear the weight and stay sealed through it all.  Meets U.S. Postal regulations for standard packages.",,,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/391362/Scotch-Heavy-Duty-Shipping-Packing-Tape/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/391362/391362_o01_32022/391362_o01_32022,https://media.officedepot.com/images/products/391362/391362_o02_32022/391362_o02_32022,https://media.officedepot.com/images/products/391362/391362_o03_32022/391362_o03_32022,https://media.officedepot.com/images/products/391362/391362_o04_32022/391362_o04_32022,https://media.officedepot.com/images/products/391362/391362_o05_32022/391362_o05_32022,https://media.officedepot.com/images/products/391362/391362_o06_32022/391362_o06_32022,https://media.officedepot.com/images/products/391362/391362_o07_32022/391362_o07_32022,https://media.officedepot.com/images/products/391362/391362_o08_32022/391362_o08_32022,https://media.officedepot.com/images/products/391362/391362_o09_32022/391362_o09_32022,https://media.officedepot.com/images/products/391362/391362_o10_32022/391362_o10_32022,https://media.officedepot.com/images/products/391362/391362_o11_32022/391362_o11_32022,https://media.officedepot.com/images/products/391362/391362_o12_32022/391362_o12_32022"
Office Depot,3241894,LEPAGES 2000 INC,39943-OD,"Office Depot&reg; Brand Heavy Duty Shipping Packing Tape, 1.89&quot; x 70.8 Yd, Crystal Clear, Pack Of 4 Rolls","Ship out boxes with speed and efficiency when you use Office Depot Brand Heavy-Duty Shipping Tape. Its moisture-resistant qualities help your items stay protected in a variety of adverse conditions.  Heavy Duty Packing tape with strong holding power to ensure a secure seal.  Strong Hot Melt adhesive creates fast, durable seals.  Crystal clear tape allows you to see text, images or labels clearly.  Durable enough to handle the heaviest packaging applications; our strongest holding power.  Moisture-resistant.  Ideal for home and office shipping needs.  Meets US Postal regulations for standard packages.  Pack of 4 rolls.",,4,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/3241894/Office-Depot-Brand-Heavy-Duty-Shipping/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/3241894/3241894_o01_081020/3241894_o01_081020,https://media.officedepot.com/images/products/3241894/3241894_o02_081020/3241894_o02_081020,https://media.officedepot.com/images/products/3241894/3241894_o03_081020/3241894_o03_081020,https://media.officedepot.com/images/products/3241894/3241894_o04_081020/3241894_o04_081020,https://media.officedepot.com/images/products/3241894/3241894_o05_081020/3241894_o05_081020"
Office Depot,197023,SHURTAPE TECHNOLOGIES,DUC393730,"Duck&reg; HD Clear&trade; Heavy-Duty Packaging Tape, 1-7/8&quot;, Crystal Clear, Box Of 24 Rolls","Finish your packages with Duck Brand HD packaging tape. Not only does this packing tape keep boxes sealed and secure, but it also helps them look good, too. The HD Clear design offers a smooth, clean appearance that doesn't obscure important labels and illustrations. Plus, the adhesive boasts a long shelf life that's great for putting boxes into storage.  Handles heavy-duty applications.  HD Clear tape can go on top of shipping labels.  UV-resistant design prevents yellowing.  Adhesive bond gets stronger with time.  Rated for 14° to 140° temperatures.  Great for storage.  Meets U.S. postal regulations.  Includes multiple rolls of Duck packing tape.",,24,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/197023/Duck-HD-Clear-Heavy-Duty-Packaging/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/197023/197023_p_duck_hd_heavy_duty_packaging_tape/197023_p_duck_hd_heavy_duty_packaging_tape,https://media.officedepot.com/images/products/197023/197023_o02_duck_hd_heavy_duty_packaging_tape/197023_o02_duck_hd_heavy_duty_packaging_tape,https://media.officedepot.com/images/products/197023/197023_o03_duck_hd_heavy_duty_packaging_tape/197023_o03_duck_hd_heavy_duty_packaging_tape,https://media.officedepot.com/images/products/197023/197023_o51_et_8574075/197023_o51_et_8574075"
Office Depot,656894,3M CO,3850406,"Scotch&reg; Heavy-Duty Shipping Packing Tape, 1-7/8&quot; x 43.7 Yd., Clear, Pack Of 6 Rolls","Now even the heaviest packages can withstand rough handling. Our Scotch® Heavy Duty Shipping Packaging Tape holds strong on all box types, including 100% recycled boxes. It's even guaranteed to stay sealed.* The strong, tough, solvent free hot melt adhesive locks in your heavy duty contents and locks out everything else. You don’t need layers of tape to get the job done-just one strip at a time-so you save time. Your heavy packages can bear the weight and stay sealed through it all with Scotch® Heavy Duty packaging tape.  Guaranteed to Stay Sealed* (*If your box does not stay sealed, 3M will refund the purchase price of this tape. Proof of purchase required. Contact: 1-800-3MHELPS).  Provides excellent holding power for heavy-duty packaging and shipping.  Strong seal on all box types, including hard-to-stick-to 100% recycled boxes.  Strong, durable solvent-free hot melt adhesive seals and protects.  Release coating makes unwind easy. Resists slivering, splitting and tearing.  3.1 mil thick.  Scotch™ Brand’s strongest clear-to-the-core packaging tape.  Clear backing and instant adhesion.  Heavy duty seal, even through rough handling.  You don't need layers of tape to get the job done - Just one strip - so you save time.  Your heavy packages can bear the weight and stay sealed through it all.  Meets U.S. Postal regulations for standard packages.  Transparent.  6 rolls of Scotch shipping tape.",,,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/656894/Scotch-Heavy-Duty-Shipping-Packing-Tape/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/656894/656894_o01_111620/656894_o01_111620,https://media.officedepot.com/images/products/656894/656894_o02_111620/656894_o02_111620,https://media.officedepot.com/images/products/656894/656894_o03_111620/656894_o03_111620,https://media.officedepot.com/images/products/656894/656894_o04_111620/656894_o04_111620,https://media.officedepot.com/images/products/656894/656894_o05_111620/656894_o05_111620,https://media.officedepot.com/images/products/656894/656894_o06_111620/656894_o06_111620,https://media.officedepot.com/images/products/656894/656894_o07_111620/656894_o07_111620,https://media.officedepot.com/images/products/656894/656894_o08_111620/656894_o08_111620,https://media.officedepot.com/images/products/656894/656894_o09_111620/656894_o09_111620,https://media.officedepot.com/images/products/656894/656894_o10_111620/656894_o10_111620"
Office Depot,778510,SHURTAPE TECHNOLOGIES,441962,"Duck&reg; HD Clear&trade; Heavy-Duty Packaging Tape, 3&quot; Core, 1.88&quot; x 54.6 yd., Clear, Pack Of 6","When it’s time to pack up, be sure to choose a durable tape that’s tear- and break-resistant. HD Clear Brand Heavy Duty Packaging Tape is designed with a long-lasting acrylic adhesive that keeps your boxes and packages secure during shipping, moving and storage. Plus, it goes on completely clear so you can box up your belongings while keeping your storage space at home or the office looking nice.  Mailing essentials that help you get more done in a shorter time.  High-performance packing tape is 2.6 mils thick.  Tape is clear, which lets you tape over addresses and emblems on your package.  Ultraviolet resistance eliminates yellowing and increases shelf life.  Offers a wide temperature range performance (14°F - 140°F) to protect your package in extreme conditions.  Heavy duty for a strong and secure hold to keep your valuables safe while moving, shipping or in storage.  Adhesive bond strengthens over time for a long-lasting hold on boxes, perfect for storage.  Meets U.S. Postal regulations.",,,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/778510/Duck-HD-Clear-Heavy-Duty-Packaging/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/778510/778510_o01_duck_hd_clear_heavy_duty_packaging_tape_100319/778510_o01_duck_hd_clear_heavy_duty_packaging_tape_100319,https://media.officedepot.com/images/products/778510/778510_o02_duck_hd_clear_heavy_duty_packaging_tape_100319/778510_o02_duck_hd_clear_heavy_duty_packaging_tape_100319,https://media.officedepot.com/images/products/778510/778510_o03_duck_hd_clear_heavy_duty_packaging_tape_100319/778510_o03_duck_hd_clear_heavy_duty_packaging_tape_100319,https://media.officedepot.com/images/products/778510/778510_o04_duck_hd_clear_heavy_duty_packaging_tape_100319/778510_o04_duck_hd_clear_heavy_duty_packaging_tape_100319,https://media.officedepot.com/images/products/778510/778510_o51_et_8236438_duck_hd_clear_heavy_duty_packaging_tape_100319/778510_o51_et_8236438_duck_hd_clear_heavy_duty_packaging_tape_100319"
